5,1.52,13.27,3.62,1.24,73.08,0.55,8.07,0,0,1
7,1.52,13.3,3.6,1.14,73.09,0.58,8.17,0,0,1
13,1.52,12.88,3.43,1.4,73.28,0.69,8.05,0,0.24,1
16,1.52,12.81,3.54,1.23,73.24,0.58,8.39,0,0,1
17,1.52,12.68,3.67,1.16,73.11,0.61,8.7,0,0,1
23,1.52,12.78,3.62,1.29,72.79,0.59,8.7,0,0,1
24,1.52,12.81,3.57,1.35,73.02,0.62,8.59,0,0,1
28,1.52,12.87,3.48,1.33,73.04,0.56,8.43,0,0,1
30,1.52,13.08,3.49,1.28,72.86,0.6,8.49,0,0,1
31,1.52,12.65,3.56,1.3,73.08,0.61,8.69,0,0.14,1
32,1.52,12.84,3.5,1.14,73.27,0.56,8.55,0,0,1
35,1.52,12.69,3.54,1.34,72.95,0.57,8.75,0,0,1
36,1.52,13.29,3.45,1.21,72.74,0.56,8.57,0,0,1
38,1.52,12.74,3.48,1.35,72.96,0.64,8.68,0,0,1
39,1.52,14.21,3.82,0.47,71.77,0.11,9.57,0,0,1
40,1.52,14.21,3.82,0.47,71.77,0.11,9.57,0,0,1
41,1.52,12.79,3.5,1.12,73.03,0.64,8.77,0,0,1
43,1.52,13.21,3.39,1.33,72.76,0.59,8.59,0,0,1
58,1.52,12.87,3.48,1.29,72.95,0.6,8.43,0,0,1
59,1.52,13.48,3.74,1.17,72.99,0.59,8.03,0,0,1
61,1.52,13.6,3.62,1.11,72.64,0.14,8.76,0,0,1
64,1.52,14.17,3.81,0.78,71.35,0,9.69,0,0,1
67,1.52,13.05,3.65,0.87,72.22,0.19,9.85,0,0.17,1
68,1.52,13.05,3.65,0.87,72.32,0.19,9.85,0,0.17,1
70,1.52,13.31,3.58,0.82,71.99,0.12,10.17,0,0.03,1
74,1.52,13.34,3.57,1.57,72.87,0.61,7.89,0,0,2
75,1.52,13.02,3.56,1.54,73.11,0.72,7.9,0,0,2
76,1.52,13.02,3.58,1.51,73.12,0.69,7.96,0,0,2
78,1.52,13,3.58,1.54,72.83,0.61,8.04,0,0,2
80,1.52,12.82,3.52,1.9,72.86,0.69,7.97,0,0,2
81,1.52,12.86,3.52,2.12,72.66,0.69,7.97,0,0,2
82,1.52,13.25,3.45,1.43,73.17,0.61,7.86,0,0,2
84,1.52,13.09,3.52,1.55,72.87,0.68,8.05,0,0.09,2
87,1.52,13.24,3.49,1.47,73.25,0.38,8.03,0,0,2
89,1.52,13.01,3.5,1.48,72.89,0.6,8.12,0,0,2
94,1.52,13.24,3.34,1.47,73.1,0.39,8.22,0,0,2
95,1.52,12.71,3.33,1.49,73.28,0.67,8.24,0,0,2
111,1.53,11.23,0,0.77,73.21,0,14.68,0,0,2
115,1.52,13.1,3.97,1.19,72.44,0.6,8.43,0,0,2
120,1.52,13.56,3.57,1.47,72.45,0.64,7.96,0,0,2
123,1.52,13.23,3.54,1.48,72.84,0.56,8.1,0,0,2
125,1.52,13.2,3.68,1.15,72.75,0.54,8.52,0,0,2
127,1.52,12.94,3.61,1.26,72.75,0.56,8.6,0,0,2
133,1.52,13.43,3.98,1.18,72.49,0.58,8.15,0,0,2
135,1.52,13.33,3.85,1.25,72.78,0.52,8.12,0,0,2
138,1.52,12.89,3.62,1.57,72.96,0.61,8.11,0,0,2
141,1.52,13.33,3.54,1.61,72.54,0.68,8.11,0,0,2
148,1.52,13.33,3.53,1.34,72.67,0.56,8.33,0,0,3
149,1.52,13.24,3.57,1.38,72.7,0.56,8.44,0,0.1,3
152,1.52,14.32,3.9,0.83,71.5,0,9.49,0,0,3
154,1.52,13.42,3.4,1.22,72.69,0.59,8.32,0,0,3
155,1.52,12.86,3.58,1.31,72.61,0.61,8.79,0,0,3
156,1.52,13.04,3.4,1.26,73.01,0.52,8.58,0,0,3
157,1.52,13.41,3.39,1.28,72.64,0.52,8.65,0,0,3
161,1.52,13.33,3.34,1.54,72.14,0.56,8.99,0,0,3
173,1.51,13,0,3.02,70.7,6.21,6.93,0,0,5
179,1.52,14.46,2.24,1.62,72.38,0,9.26,0,0,6
180,1.52,14.09,2.19,1.66,72.67,0,9.32,0,0,6
188,1.52,13.44,3.34,1.23,72.38,0.6,8.83,0,0,7
195,1.52,14.56,0,1.98,73.29,0,8.52,1.57,0.07,7
198,1.52,14.7,0,2.34,73.28,0,8.95,0.66,0,7
199,1.52,14.38,0,2.66,73.1,0.04,9.08,0.64,0,7
211,1.52,14.92,0,1.99,73.06,0,8.4,1.59,0,7
212,1.52,14.36,0,2.02,73.42,0,8.44,1.64,0,7
214,1.52,14.23,0,2.08,73.36,0,8.62,1.67,0,7
